riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs1195358-?	6E-17	-	NR	-	"0.025472648 unit increase"	[0.02-0.031]	OSTN,GMNC	Height	"body height"	-	GCST008839	3:191101305	31562340	"Akiyama M"
rs12207399-?	1E-33	-	NR	-	"0.037892476 unit decrease"	[0.032-0.044]	LIN28B-AS1,LIN28B	Height	"body height"	-	GCST008839	6:104937737	31562340	"Akiyama M"
rs12212816-?	2E-19	-	NR	-	"0.03391738 unit increase"	[0.027-0.041]	FILIP1	Height	"body height"	-	GCST008839	6:75456448	31562340	"Akiyama M"
rs12217006-?	1E-10	-	NR	-	"0.027506597 unit increase"	[0.019-0.036]	CSF1,AHCYL1	Height	"body height"	-	GCST008839	1:109951107	31562340	"Akiyama M"
rs12222197-?	1E-9	-	NR	-	"0.01788617 unit increase"	[0.012-0.024]	VSIG10L2	Height	"body height"	-	GCST008839	11:125955329	31562340	"Akiyama M"
rs12230367-?	7E-22	-	NR	-	"0.046592604 unit increase"	[0.037-0.056]	PTHLH,RN7SKP15	Height	"body height"	-	GCST008839	12:27955755	31562340	"Akiyama M"
rs12236727-?	3E-15	-	NR	-	"0.02330603 unit decrease"	[0.018-0.029]	RNY4P18,LPAR1	Height	"body height"	-	GCST008839	9:111062301	31562340	"Akiyama M"
rs12306007-?	6E-14	-	NR	-	"0.02740469 unit increase"	[0.02-0.035]	SLC38A4-AS1,SLC38A4	Height	"body height"	-	GCST008839	12:46790259	31562340	"Akiyama M"
rs12320918-?	1E-8	-	NR	-	"0.02117549 unit increase"	[0.014-0.029]	CHST11,SLC41A2	Height	"body height"	-	GCST008839	12:104762674	31562340	"Akiyama M"
rs12357239-?	8E-9	-	NR	-	"0.018439142 unit increase"	[0.012-0.025]	TMEM256P1,NEUROG3	Height	"body height"	-	GCST008839	10:69543565	31562340	"Akiyama M"
rs1239704-?	1E-20	-	NR	-	"0.031107347 unit decrease"	[0.025-0.038]	DLEU1,DLEU7	Height	"body height"	-	GCST008839	13:50578475	31562340	"Akiyama M"
rs12424113-?	3E-14	-	NR	-	"0.022163762 unit increase"	[0.016-0.028]	B4GALNT3	Height	"body height"	-	GCST008839	12:460782	31562340	"Akiyama M"
rs12458127-?	1E-19	-	NR	-	"0.02745859 unit decrease"	[0.022-0.033]	DYM	Height	"body height"	-	GCST008839	18:49130988	31562340	"Akiyama M"
rs1249260-?	1E-82	-	NR	-	"0.05526645 unit decrease"	[0.05-0.061]	DIS3L2	Height	"body height"	-	GCST008839	2:232181472	31562340	"Akiyama M"
rs12511998-?	6E-7	-	NR	-	"0.015319924 unit increase"	[0.0093-0.0214]	LINC00499,NOCT	Height	"body height"	-	GCST008839	4:138997290	31562340	"Akiyama M"
rs12529733-?	2E-9	-	NR	-	"0.017386423 unit decrease"	[0.012-0.023]	CCDC162P	Height	"body height"	-	GCST008839	6:109332929	31562340	"Akiyama M"
rs1260326-?	2E-16	-	NR	-	"0.02332736 unit increase"	[0.018-0.029]	GCKR	Height	"body height"	-	GCST008839	2:27508073	31562340	"Akiyama M"
rs12631733-?	3E-9	-	NR	-	"0.017105715 unit decrease"	[0.011-0.023]	BOC	Height	"body height"	-	GCST008839	3:113272270	31562340	"Akiyama M"
rs12700691-?	2E-11	-	NR	-	"0.02758184 unit decrease"	[0.02-0.036]	MIR148A,NFE2L3	Height	"body height"	-	GCST008839	7:25989866	31562340	"Akiyama M"
rs12748433-?	1E-9	-	NR	-	"0.02087971 unit decrease"	[0.014-0.028]	MIB2	Height	"body height"	-	GCST008839	1:1624591	31562340	"Akiyama M"
rs12776510-?	4E-11	-	NR	-	"0.023558892 unit increase"	[0.017-0.031]	ANK3	Height	"body height"	-	GCST008839	10:60408170	31562340	"Akiyama M"
rs12837147-?	3E-30	-	NR	-	"0.030727377 unit decrease"	[0.025-0.036]	PGK1,ATP7A	Height	"body height"	-	GCST008839	X:77914078	31562340	"Akiyama M"
rs12885642-?	2E-15	-	NR	-	"0.02349339 unit decrease"	[0.018-0.029]	PHKBP2,RPL29P3	Height	"body height"	-	GCST008839	14:36544871	31562340	"Akiyama M"
rs12905213-?	6E-12	-	NR	-	"0.019866232 unit increase"	[0.014-0.026]	PCSK6	Height	"body height"	-	GCST008839	15:101475115	31562340	"Akiyama M"
rs12909519-?	8E-19	-	NR	-	"0.025573308 unit increase"	[0.02-0.031]	MIR4713HG	Height	"body height"	-	GCST008839	15:51049670	31562340	"Akiyama M"
rs12971049-?	5E-7	-	NR	-	"0.014385557 unit decrease"	[0.0088-0.02]	FHOD3	Height	"body height"	-	GCST008839	18:36514976	31562340	"Akiyama M"
rs12980251-?	9E-11	-	NR	-	"0.025342843 unit decrease"	[0.018-0.033]	MYO1F	Height	"body height"	-	GCST008839	19:8573083	31562340	"Akiyama M"
rs13125694-?	1E-29	-	NR	-	"0.04457814 unit increase"	[0.037-0.052]	HHIP-AS1	Height	"body height"	-	GCST008839	4:144645696	31562340	"Akiyama M"
rs13162062-?	3E-21	-	NR	-	"0.027395174 unit decrease"	[0.022-0.033]	AK4P2,SLC38A9	Height	"body height"	-	GCST008839	5:55605814	31562340	"Akiyama M"
rs1317349-?	2E-12	-	NR	-	"0.021266991 unit increase"	[0.015-0.027]	KCNJ12	Height	"body height"	-	GCST008839	17:21380195	31562340	"Akiyama M"
rs1322045-?	9E-15	-	NR	-	"0.02524411 unit increase"	[0.019-0.032]	RGP1,MSMP	Height	"body height"	-	GCST008839	9:35754503	31562340	"Akiyama M"
rs13221259-?	2E-7	-	NR	-	"0.015323641 unit decrease"	[0.0096-0.0211]	HMGN1P19,ZNF619P1	Height	"body height"	-	GCST008839	7:46324574	31562340	"Akiyama M"
rs13233322-?	2E-11	-	NR	-	"0.020767253 unit decrease"	[0.015-0.027]	HDAC9	Height	"body height"	-	GCST008839	7:18876078	31562340	"Akiyama M"
rs1327199-?	4E-8	-	NR	-	"0.01706247 unit decrease"	[0.011-0.023]	LINC02527,CCN6	Height	"body height"	-	GCST008839	6:111954157	31562340	"Akiyama M"
rs13392139-?	6E-19	-	NR	-	"0.038697768 unit decrease"	[0.03-0.047]	GLI2	Height	"body height"	-	GCST008839	2:120821192	31562340	"Akiyama M"
rs1359328-?	4E-9	-	NR	-	"0.017180644 unit decrease"	[0.011-0.023]	MEGF9	Height	"body height"	-	GCST008839	9:120608544	31562340	"Akiyama M"
rs13734-?	2E-9	-	NR	-	"0.01707033 unit decrease"	[0.011-0.023]	RRBP1	Height	"body height"	-	GCST008839	20:17614084	31562340	"Akiyama M"
rs137888851-?	5E-12	-	NR	-	"0.029396145 unit decrease"	[0.021-0.038]	ZCCHC14-DT	Height	"body height"	-	GCST008839	16:87503705	31562340	"Akiyama M"
rs138296890-?	7E-38	-	NR	-	"0.12311019 unit increase"	[0.1-0.14]	EXOC6B	Height	"body height"	-	GCST008839	2:72345606	31562340	"Akiyama M"
rs1386075-?	3E-8	-	NR	-	"0.01771592 unit increase"	[0.011-0.024]	LINC01571,LINC02911	Height	"body height"	-	GCST008839	16:51827005	31562340	"Akiyama M"
rs1397899-?	1E-9	-	NR	-	"0.018139593 unit decrease"	[0.012-0.024]	LINC01997	Height	"body height"	-	GCST008839	3:169023856	31562340	"Akiyama M"
rs139866833-?	2E-8	-	NR	-	"0.067168914 unit decrease"	[0.044-0.091]	LINC02952	Height	"body height"	-	GCST008839	11:69438718	31562340	"Akiyama M"
rs12529887-?	3E-12	-	NR	-	-	-	SMOC2,LINC01615	Height	"body height"	-	GCST007841	6:169064985	30595370	"Kichaev G"
rs3252-?	2E-14	-	NR	-	-	-	THBS2,THBS2-AS1	Height	"body height"	-	GCST007841	6:169216002	30595370	"Kichaev G"
rs9330360-?	1E-13	-	NR	-	-	-	PRKAR1B	Height	"body height"	-	GCST007841	7:559111	30595370	"Kichaev G"
rs62435144-?	6E-10	-	NR	-	-	-	MICALL2,UNCX	Height	"body height"	-	GCST007841	7:1239469	30595370	"Kichaev G"
rs2361715-?	1E-8	-	NR	-	-	-	MICALL2,UNCX	Height	"body height"	-	GCST007841	7:1341846	30595370	"Kichaev G"
rs3735656-?	6E-15	-	NR	-	-	-	MAFK	Height	"body height"	-	GCST007841	7:1541285	30595370	"Kichaev G"
rs117829095-?	1E-8	-	NR	-	-	-	MAD1L1	Height	"body height"	-	GCST007841	7:1892738	30595370	"Kichaev G"
rs2906153-?	2E-11	-	NR	-	-	-	LFNG,GRIFIN	Height	"body height"	-	GCST007841	7:2482224	30595370	"Kichaev G"
rs798491-?	2E-241	-	NR	-	-	-	GNA12,AMZ1	Height	"body height"	-	GCST007841	7:2760887	30595370	"Kichaev G"
rs13226653-?	1E-9	-	NR	-	-	-	GNA12	Height	"body height"	-	GCST007841	7:2786022	30595370	"Kichaev G"
rs7806365-?	2E-8	-	NR	-	-	-	CARD11	Height	"body height"	-	GCST007841	7:2950375	30595370	"Kichaev G"
rs112915601-?	2E-21	-	NR	-	-	-	TNRC18	Height	"body height"	-	GCST007841	7:5315388	30595370	"Kichaev G"
rs73057397-?	2E-10	-	NR	-	-	-	KDELR2,DAGLB	Height	"body height"	-	GCST007841	7:6464609	30595370	"Kichaev G"
rs10253861-?	3E-40	-	NR	-	-	-	GLCCI1	Height	"body height"	-	GCST007841	7:8070845	30595370	"Kichaev G"
rs11509137-?	3E-12	-	NR	-	-	-	TMEM106B	Height	"body height"	-	GCST007841	7:12224173	30595370	"Kichaev G"
rs56060724-?	5E-10	-	NR	-	-	-	TAS2R2P,SCIN	Height	"body height"	-	GCST007841	7:12548752	30595370	"Kichaev G"
rs13247236-?	9E-9	-	NR	-	-	-	RBMX2P4,ETV1	Height	"body height"	-	GCST007841	7:13043870	30595370	"Kichaev G"
rs41503-?	2E-9	-	NR	-	-	-	Y_RNA,ETV1	Height	"body height"	-	GCST007841	7:13993031	30595370	"Kichaev G"
rs10479944-?	1E-9	-	NR	-	-	-	AGMO,GTF3AP5	Height	"body height"	-	GCST007841	7:15074211	30595370	"Kichaev G"
rs6980299-?	2E-14	-	NR	-	-	-	MEOX2	Height	"body height"	-	GCST007841	7:15675431	30595370	"Kichaev G"
rs35006616-?	5E-8	-	NR	-	-	-	RPL36AP26,CRPPA	Height	"body height"	-	GCST007841	7:16029003	30595370	"Kichaev G"
rs6961730-?	4E-14	-	NR	-	-	-	MRM3P2,PRPS1L1	Height	"body height"	-	GCST007841	7:18000737	30595370	"Kichaev G"
rs727851-?	9E-27	-	NR	-	-	-	HDAC9	Height	"body height"	-	GCST007841	7:18747194	30595370	"Kichaev G"
rs67248060-?	7E-24	-	NR	-	-	-	HDAC9	Height	"body height"	-	GCST007841	7:18859540	30595370	"Kichaev G"
rs2526639-?	4E-17	-	NR	-	-	-	HDAC9	Height	"body height"	-	GCST007841	7:18976542	30595370	"Kichaev G"
rs17861031-?	6E-11	-	NR	-	"0.026255907 unit decrease"	[0.018-0.034]	PAX1	Height	"body height"	-	GCST008839	20:21706706	31562340	"Akiyama M"
rs182665950-?	7E-14	-	NR	-	"0.10095769 unit increase"	[0.075-0.127]	RPL35P2,NUDT3	Height	"body height"	-	GCST008839	6:34273126	31562340	"Akiyama M"
rs184395229-?	2E-9	-	NR	-	"0.08695567 unit decrease"	[0.059-0.115]	COL6A2	Height	"body height"	-	GCST008839	21:46129449	31562340	"Akiyama M"
rs1861631-?	5E-7	-	NR	-	"0.019926043 unit increase"	[0.012-0.028]	DIRC3-AS1	Height	"body height"	-	GCST008839	2:216741202	31562340	"Akiyama M"
rs1902070-?	6E-27	-	NR	-	"0.031265274 unit decrease"	[0.026-0.037]	RPSAP72,TENT5A	Height	"body height"	-	GCST008839	6:80628778	31562340	"Akiyama M"
rs1928191-?	4E-10	-	NR	-	"0.018160237 unit increase"	[0.012-0.024]	DAAM2	Height	"body height"	-	GCST008839	6:39808584	31562340	"Akiyama M"
rs1938679-?	4E-25	-	NR	-	"0.03222282 unit decrease"	[0.026-0.038]	LINC02747,LINC02952	Height	"body height"	-	GCST008839	11:69457328	31562340	"Akiyama M"
rs1963304-?	1E-14	-	NR	-	"0.022342002 unit decrease"	[0.017-0.028]	ZKSCAN1	Height	"body height"	-	GCST008839	7:100028173	31562340	"Akiyama M"
rs1966265-?	3E-12	-	NR	-	"0.01990651 unit increase"	[0.014-0.025]	FGFR4	Height	"body height"	-	GCST008839	5:177089630	31562340	"Akiyama M"
rs1996422-?	1E-15	-	NR	-	"0.025489407 unit increase"	[0.019-0.032]	FRYL	Height	"body height"	-	GCST008839	4:48685334	31562340	"Akiyama M"
rs199673881-?	1E-29	-	NR	-	"0.15140666 unit decrease"	[0.13-0.18]	SP7	Height	"body height"	-	GCST008839	12:53328577	31562340	"Akiyama M"
rs199766-?	1E-7	-	NR	-	"0.015634164 unit increase"	[0.0099-0.0214]	LINC01427,LINC00261	Height	"body height"	-	GCST008839	20:22395117	31562340	"Akiyama M"
rs199866266-?	9E-8	-	NR	-	"0.10725985 unit decrease"	[0.068-0.147]	HAGHL	Height	"body height"	-	GCST008839	16:729296	31562340	"Akiyama M"
rs199957421-?	5E-11	-	NR	-	"0.057726145 unit decrease"	[0.04-0.075]	ICAM1,LIMASI	Height	"body height"	-	GCST008839	19:10281704	31562340	"Akiyama M"
rs200216644-?	2E-10	-	NR	-	"0.16958171 unit decrease"	[0.12-0.22]	IHH	Height	"body height"	-	GCST008839	2:219055221	31562340	"Akiyama M"
rs200267038-?	8E-11	-	NR	-	"0.0985138 unit decrease"	[0.069-0.128]	CNN2P11,AQP7B	Height	"body height"	-	GCST008839	2:94670365	31562340	"Akiyama M"
rs200560216-?	6E-11	-	NR	-	"0.023954876 unit decrease"	[0.017-0.031]	IPPK,RPL21P86	Height	"body height"	-	GCST008839	9:92672140	31562340	"Akiyama M"
rs2008018-?	4E-46	-	NR	-	"0.04073976 unit decrease"	[0.035-0.046]	CSH2,GH2	Height	"body height"	-	GCST008839	17:63877111	31562340	"Akiyama M"
rs200992198-?	2E-9	-	NR	-	"0.03578367 unit decrease"	[0.024-0.047]	CREBL2,DUSP16	Height	"body height"	-	GCST008839	12:12571681	31562340	"Akiyama M"
rs201104642-?	4E-14	-	NR	-	"0.079927675 unit decrease"	[0.059-0.101]	CFAP65	Height	"body height"	-	GCST008839	2:219030171	31562340	"Akiyama M"
rs201158957-?	2E-25	-	NR	-	"0.169164 unit increase"	[0.14-0.2]	CHAD,ACSF2	Height	"body height"	-	GCST008839	17:50468565	31562340	"Akiyama M"
rs201196042-?	2E-14	-	NR	-	"0.160049 unit decrease"	[0.12-0.2]	PDE8A	Height	"body height"	-	GCST008839	15:85030912	31562340	"Akiyama M"
rs201257518-?	2E-12	-	NR	-	"0.0209211 unit increase"	[0.015-0.027]	TMED7,H3P24	Height	"body height"	-	GCST008839	5:115680693	31562340	"Akiyama M"
rs2013966-?	8E-8	-	NR	-	"0.015921101 unit decrease"	[0.01-0.022]	GLDC	Height	"body height"	-	GCST008839	9:6539256	31562340	"Akiyama M"
rs201981153-?	5E-22	-	NR	-	"0.16150656 unit decrease"	[0.13-0.19]	CSHL1,CSH1	Height	"body height"	-	GCST008839	17:63898651	31562340	"Akiyama M"
rs202150945-?	5E-8	-	NR	-	"0.031104365 unit decrease"	[0.02-0.042]	CDC42EP3,PIRAT1	Height	"body height"	-	GCST008839	2:37771107	31562340	"Akiyama M"
rs202237966-?	9E-9	-	NR	-	"0.32130665 unit decrease"	[0.21-0.43]	JAK2	Height	"body height"	-	GCST008839	9:5089770	31562340	"Akiyama M"
rs202243137-?	1E-24	-	NR	-	"0.03323504 unit increase"	[0.027-0.04]	LOXL2	Height	"body height"	-	GCST008839	8:23313979	31562340	"Akiyama M"
rs2024348-?	6E-10	-	NR	-	"0.040769465 unit increase"	[0.028-0.054]	FERD3L,POLR1F	Height	"body height"	-	GCST008839	7:19489861	31562340	"Akiyama M"
rs2055981-?	4E-13	-	NR	-	"0.020653272 unit increase"	[0.015-0.026]	ZBTB20-AS5,ZBTB20	Height	"body height"	-	GCST008839	3:114485122	31562340	"Akiyama M"
rs2066790-?	6E-9	-	NR	-	"0.019416908 unit decrease"	[0.013-0.026]	RFC1	Height	"body height"	-	GCST008839	4:39317086	31562340	"Akiyama M"
rs2070762-?	6E-35	-	NR	-	"0.03612134 unit increase"	[0.03-0.042]	TH	Height	"body height"	-	GCST008839	11:2165105	31562340	"Akiyama M"
rs2071454-?	9E-46	-	NR	-	"0.043169484 unit increase"	[0.037-0.049]	ESR1	Height	"body height"	-	GCST008839	6:151805689	31562340	"Akiyama M"
rs2073872-?	2E-10	-	NR	-	"0.020848336 unit decrease"	[0.014-0.027]	MYMK	Height	"body height"	-	GCST008839	9:133524994	31562340	"Akiyama M"
rs2083197-?	1E-10	-	NR	-	"0.02755635 unit decrease"	[0.019-0.036]	RPSAP49,SPATA31C2	Height	"body height"	-	GCST008839	9:88267143	31562340	"Akiyama M"
rs214246-?	1E-14	-	NR	-	"0.022662878 unit decrease"	[0.017-0.028]	AXIN1	Height	"body height"	-	GCST008839	16:299293	31562340	"Akiyama M"
rs2194178-?	4E-12	-	NR	-	"0.021208981 unit decrease"	[0.015-0.027]	NPR3	Height	"body height"	-	GCST008839	5:32717938	31562340	"Akiyama M"
rs2203949-?	1E-13	-	NR	-	"0.037613913 unit increase"	[0.028-0.048]	ACTG1P13,ARHGEF28P1	Height	"body height"	-	GCST008839	3:99262206	31562340	"Akiyama M"
rs2213751-?	8E-15	-	NR	-	"0.022283204 unit increase"	[0.017-0.028]	PRRX1	Height	"body height"	-	GCST008839	1:170721452	31562340	"Akiyama M"
rs2217257-?	2E-32	-	NR	-	"0.033941753 unit decrease"	[0.028-0.04]	MEF2C-AS1	Height	"body height"	-	GCST008839	5:89046775	31562340	"Akiyama M"
rs2227901-?	2E-25	-	NR	-	"0.03054484 unit increase"	[0.025-0.036]	REST	Height	"body height"	-	GCST008839	4:56932023	31562340	"Akiyama M"
rs2235363-?	5E-10	-	NR	-	"0.017872233 unit decrease"	[0.012-0.024]	PLCG1,ZHX3	Height	"body height"	-	GCST008839	20:41179129	31562340	"Akiyama M"
rs2240278-?	1E-8	-	NR	-	"0.018608322 unit increase"	[0.012-0.025]	HDAC9	Height	"body height"	-	GCST008839	7:18978598	31562340	"Akiyama M"
rs2240857-?	4E-13	-	NR	-	"0.02460539 unit decrease"	[0.018-0.031]	GLCCI1	Height	"body height"	-	GCST008839	7:7971003	31562340	"Akiyama M"
rs2241059-?	3E-13	-	NR	-	"0.03691933 unit increase"	[0.027-0.047]	CYP26B1	Height	"body height"	-	GCST008839	2:72132183	31562340	"Akiyama M"
rs2247876-?	2E-29	-	NR	-	"0.037066095 unit decrease"	[0.031-0.044]	FBN1	Height	"body height"	-	GCST008839	15:48639254	31562340	"Akiyama M"
rs2249350-?	2E-10	-	NR	-	"0.019054068 unit increase"	[0.013-0.025]	ADAMTS5	Height	"body height"	-	GCST008839	21:26950187	31562340	"Akiyama M"
rs2254303-?	4E-8	-	NR	-	"0.016222917 unit increase"	[0.01-0.022]	ZNF318,CRIP3	Height	"body height"	-	GCST008839	6:43308652	31562340	"Akiyama M"
rs2270894-?	2E-24	-	NR	-	"0.031122932 unit decrease"	[0.025-0.037]	IL17RC,CRELD1	Height	"body height"	-	GCST008839	3:9933702	31562340	"Akiyama M"
rs2277339-?	7E-14	-	NR	-	"0.026297964 unit decrease"	[0.019-0.033]	HSD17B6,PRIM1	Height	"body height"	-	GCST008839	12:56752285	31562340	"Akiyama M"
rs17140875-?	3E-19	-	NR	-	-	-	FERD3L,POLR1F	Height	"body height"	-	GCST007841	7:19208655	30595370	"Kichaev G"
rs17141120-?	1E-11	-	NR	-	-	-	POLR1F,FERD3L	Height	"body height"	-	GCST007841	7:19310108	30595370	"Kichaev G"
rs57176772-?	1E-39	-	NR	-	-	-	POLR1F,FERD3L	Height	"body height"	-	GCST007841	7:19592972	30595370	"Kichaev G"
rs3807945-?	4E-62	-	NR	-	-	-	ITGB8	Height	"body height"	-	GCST007841	7:20376203	30595370	"Kichaev G"
rs10236314-?	3E-13	-	NR	-	-	-	ABCB5	Height	"body height"	-	GCST007841	7:20676586	30595370	"Kichaev G"
rs13227860-?	9E-9	-	NR	-	-	-	CDCA7L,RAPGEF5	Height	"body height"	-	GCST007841	7:22114836	30595370	"Kichaev G"
rs1880241-?	7E-8	-	NR	-	-	-	STEAP1B	Height	"body height"	-	GCST007841	7:22719850	30595370	"Kichaev G"
rs112330055-?	9E-18	-	NR	-	-	-	HYCC1,KLHL7-DT	Height	"body height"	-	GCST007841	7:23069697	30595370	"Kichaev G"
rs3087888-?	4E-17	-	NR	-	-	-	MALSU1,IGF2BP3	Height	"body height"	-	GCST007841	7:23311461	30595370	"Kichaev G"
rs12534093-?	8E-81	-	NR	-	-	-	IGF2BP3	Height	"body height"	-	GCST007841	7:23463355	30595370	"Kichaev G"
rs34096175-?	6E-14	-	NR	-	-	-	FCF1P1,CCDC126	Height	"body height"	-	GCST007841	7:23622809	30595370	"Kichaev G"
rs7786883-?	2E-9	-	NR	-	-	-	RNA5SP228,STK31	Height	"body height"	-	GCST007841	7:23971832	30595370	"Kichaev G"
rs2711117-?	3E-9	-	NR	-	-	-	RNU6-1103P,PALS2	Height	"body height"	-	GCST007841	7:24550450	30595370	"Kichaev G"
rs10435093-?	3E-12	-	NR	-	-	-	NPVF,U3	Height	"body height"	-	GCST007841	7:25246386	30595370	"Kichaev G"
rs2134479-?	3E-10	-	NR	-	-	-	LINC03007	Height	"body height"	-	GCST007841	7:25612091	30595370	"Kichaev G"
rs57246313-?	5E-34	-	NR	-	-	-	MIR148A,LINC03007	Height	"body height"	-	GCST007841	7:25850077	30595370	"Kichaev G"
rs7801581-?	3E-17	-	NR	-	-	-	HOXA11	Height	"body height"	-	GCST007841	7:27184152	30595370	"Kichaev G"
rs10271999-?	7E-15	-	NR	-	-	-	PSMC1P2,HIBADH	Height	"body height"	-	GCST007841	7:27469589	30595370	"Kichaev G"
rs1229605-?	2E-8	-	NR	-	-	-	HIBADH	Height	"body height"	-	GCST007841	7:27590854	30595370	"Kichaev G"
rs144919949-?	2E-10	-	NR	-	-	-	TAX1BP1	Height	"body height"	-	GCST007841	7:27749635	30595370	"Kichaev G"
rs1557779-?	5E-27	-	NR	-	-	-	JAZF1	Height	"body height"	-	GCST007841	7:27955139	30595370	"Kichaev G"
rs508347-?	2E-161	-	NR	-	-	-	JAZF1	Height	"body height"	-	GCST007841	7:28173205	30595370	"Kichaev G"
rs75604893-?	8E-18	-	NR	-	-	-	CREB5	Height	"body height"	-	GCST007841	7:28685816	30595370	"Kichaev G"
rs62442203-?	8E-51	-	NR	-	-	-	CREB5	Height	"body height"	-	GCST007841	7:28789636	30595370	"Kichaev G"
rs10276670-?	1E-14	-	NR	-	-	-	AQP1	Height	"body height"	-	GCST007841	7:30916874	30595370	"Kichaev G"
rs2280447-?	4E-17	-	NR	-	"0.035147253 unit increase"	[0.027-0.043]	TNS2-AS1	Height	"body height"	-	GCST008839	12:53044920	31562340	"Akiyama M"
rs2285440-?	1E-25	-	NR	-	"0.02983307 unit decrease"	[0.024-0.035]	HDAC9	Height	"body height"	-	GCST008839	7:18659038	31562340	"Akiyama M"
rs2285951-?	6E-11	-	NR	-	"0.04373699 unit decrease"	[0.031-0.057]	ATXN7L3	Height	"body height"	-	GCST008839	17:44195541	31562340	"Akiyama M"
rs2286965-?	3E-14	-	NR	-	"0.06112141 unit increase"	[0.045-0.077]	CYP26B1	Height	"body height"	-	GCST008839	2:72133031	31562340	"Akiyama M"
rs2289125-?	2E-16	-	NR	-	"0.023915572 unit increase"	[0.018-0.03]	NOX4	Height	"body height"	-	GCST008839	11:89491285	31562340	"Akiyama M"
rs2292626-?	4E-12	-	NR	-	"0.020049892 unit increase"	[0.014-0.026]	PLEKHA1	Height	"body height"	-	GCST008839	10:122427198	31562340	"Akiyama M"
rs2305769-?	8E-9	-	NR	-	"0.018047206 unit decrease"	[0.012-0.024]	MYO9B	Height	"body height"	-	GCST008839	19:17154151	31562340	"Akiyama M"
rs2310357-?	1E-8	-	NR	-	"0.017651806 unit increase"	[0.012-0.024]	SORBS2	Height	"body height"	-	GCST008839	4:185776340	31562340	"Akiyama M"
rs2313526-?	8E-28	-	NR	-	"0.034285337 unit increase"	[0.028-0.04]	PRDM12,FUBP3	Height	"body height"	-	GCST008839	9:130639951	31562340	"Akiyama M"
rs2353984-?	4E-12	-	NR	-	"0.023700466 unit increase"	[0.017-0.03]	LINC00624	Height	"body height"	-	GCST008839	1:147341608	31562340	"Akiyama M"
rs238164-?	2E-9	-	NR	-	"0.029781574 unit increase"	[0.02-0.039]	DDX27	Height	"body height"	-	GCST008839	20:49227804	31562340	"Akiyama M"
rs2443718-?	1E-13	-	NR	-	"0.03640609 unit increase"	[0.027-0.046]	VGLL4	Height	"body height"	-	GCST008839	3:11636349	31562340	"Akiyama M"
rs2445752-?	1E-44	-	NR	-	"0.04056984 unit decrease"	[0.035-0.046]	MIR4713HG,CYP19A1	Height	"body height"	-	GCST008839	15:51284188	31562340	"Akiyama M"
rs244711-?	1E-11	-	NR	-	"0.026007323 unit increase"	[0.018-0.034]	FGFR4,ZNF346	Height	"body height"	-	GCST008839	5:177082192	31562340	"Akiyama M"
rs246185-?	6E-20	-	NR	-	"0.02613886 unit increase"	[0.021-0.032]	MIR193BHG	Height	"body height"	-	GCST008839	16:14301575	31562340	"Akiyama M"
rs2470180-?	2E-10	-	NR	-	"0.019035436 unit decrease"	[0.013-0.025]	GLDN	Height	"body height"	-	GCST008839	15:51390578	31562340	"Akiyama M"
rs250517-?	1E-15	-	NR	-	"0.030911904 unit decrease"	[0.023-0.038]	TNPO1	Height	"body height"	-	GCST008839	5:72904799	31562340	"Akiyama M"
rs2527617-?	3E-18	-	NR	-	"0.026790163 unit decrease"	[0.021-0.033]	WNT3A,SEPTIN14P17	Height	"body height"	-	GCST008839	1:227991398	31562340	"Akiyama M"
rs2564923-?	1E-16	-	NR	-	"0.028924596 unit decrease"	[0.022-0.036]	RFT1,SERBP1P3	Height	"body height"	-	GCST008839	3:53069246	31562340	"Akiyama M"
rs2571573-?	2E-11	-	NR	-	"0.01998251 unit increase"	[0.014-0.026]	LAMA2	Height	"body height"	-	GCST008839	6:129509196	31562340	"Akiyama M"
rs2573652-?	4E-20	-	NR	-	"0.026209883 unit increase"	[0.021-0.032]	ADAMTS17	Height	"body height"	-	GCST008839	15:99974409	31562340	"Akiyama M"
rs2582300-?	2E-10	-	NR	-	"0.020390226 unit increase"	[0.014-0.027]	LINC02682,LINC02751	Height	"body height"	-	GCST008839	11:15905998	31562340	"Akiyama M"
rs25849-?	7E-15	-	NR	-	"0.022721672 unit increase"	[0.017-0.028]	E4F1,PGP	Height	"body height"	-	GCST008839	16:2215070	31562340	"Akiyama M"
rs2608291-?	1E-9	-	NR	-	"0.021252604 unit increase"	[0.014-0.028]	ABCF2-H2BK1,H2BK1	Height	"body height"	-	GCST008839	7:151208358	31562340	"Akiyama M"
rs2670714-?	1E-27	-	NR	-	"0.030785715 unit increase"	[0.025-0.036]	ZNF638	Height	"body height"	-	GCST008839	2:71379703	31562340	"Akiyama M"
rs2674078-?	9E-9	-	NR	-	"0.020867985 unit decrease"	[0.014-0.028]	LINC01793,RNU6-508P	Height	"body height"	-	GCST008839	2:59566360	31562340	"Akiyama M"
rs2686544-?	7E-17	-	NR	-	"0.023695756 unit decrease"	[0.018-0.029]	RN7SKP46,SHOX2	Height	"body height"	-	GCST008839	3:158066427	31562340	"Akiyama M"
rs2696685-?	4E-8	-	NR	-	"0.020226918 unit decrease"	[0.013-0.027]	NSFP1,ARL17A	Height	"body height"	-	GCST008839	17:46496008	31562340	"Akiyama M"
